operation,randomOffset,transferSize,aggregateFilesizeMBtask,numTasks,parallelism,totalTime,numNodesList,numNodes,tasksPerNode,trMiB,storageType,opCount,taskName,taskPID,fileName,stageOrder,prevTask,aggregateFilesizeMB
write,1,1066.3976575571667,7.293895721435547,12,12,0.025339566,"[1, 2, 4]",4,3,287.84611865236946,5,7172,openmm,190099-dlt02,stage0000_task0001.h5,0.0,,174.60818481445312
write,1,1066.3976575571667,7.293895721435547,12,12,0.025339566,"[1, 2, 4]",1,12,287.84611865236946,5,7172,openmm,190099-dlt02,stage0000_task0001.dcd,0.0,,174.60818481445312
write,1,1066.3976575571667,7.293895721435547,12,12,0.025339566,"[1, 2, 4]",2,6,287.84611865236946,5,7172,openmm,190099-dlt02,stage0000_task0001.dcd,0.0,,174.60818481445312
write,1,1066.3976575571667,7.293895721435547,12,12,0.025339566,"[1, 2, 4]",4,3,287.84611865236946,5,7172,openmm,190099-dlt02,stage0000_task0001.dcd,0.0,,174.60818481445312
write,1,1057.3529082774048,7.211864471435547,12,12,0.02391716,"[1, 2, 4]",1,12,301.5351518088079,5,7152,openmm,143675-dlt05,stage0000_task0008.dcd,0.0,,174.60818481445312
write,1,1057.3529082774048,7.211864471435547,12,12,0.02391716,"[1, 2, 4]",2,6,301.5351518088079,5,7152,openmm,143675-dlt05,stage0000_task0008.dcd,0.0,,174.60818481445312
write,1,1057.3529082774048,7.211864471435547,12,12,0.02391716,"[1, 2, 4]",4,3,301.5351518088079,5,7152,openmm,143675-dlt05,stage0000_task0008.dcd,0.0,,174.60818481445312
write,1,1057.3529082774048,7.211864471435547,12,12,0.02391716,"[1, 2, 4]",1,12,301.5351518088079,5,7152,openmm,143675-dlt05,stage0000_task0008.h5,0.0,,174.60818481445312
write,1,1057.3529082774048,7.211864471435547,12,12,0.02391716,"[1, 2, 4]",2,6,301.5351518088079,5,7152,openmm,143675-dlt05,stage0000_task0008.h5,0.0,,174.60818481445312
write,1,1057.3529082774048,7.211864471435547,12,12,0.02391716,"[1, 2, 4]",4,3,301.5351518088079,5,7152,openmm,143675-dlt05,stage0000_task0008.h5,0.0,,174.60818481445312
cp,0,4096.0,,13,13,,"[1, 2, 4]",1,13,,beegfs-ssd,13,stage_in-aggregate,,"stage0000_task0007.h5,stage0000_task0002.h5,stage0000_task0010.h5,stage0000_task0000.h5,stage0000_task0005.h5,aggregated.h5,stage0000_task0009.h5,stage0000_task0004.h5,stage0000_task0011.h5,stage0000_task0008.h5,stage0000_task0001.h5,stage0000_task0006.h5,stage0000_task0003.h5",0.5,openmm,2111.1974239349365
cp,0,4096.0,,13,13,,"[1, 2, 4]",2,7,,beegfs-ssd,13,stage_in-aggregate,,"stage0000_task0007.h5,stage0000_task0002.h5,stage0000_task0010.h5,stage0000_task0000.h5,stage0000_task0005.h5,aggregated.h5,stage0000_task0009.h5,stage0000_task0004.h5,stage0000_task0011.h5,stage0000_task0008.h5,stage0000_task0001.h5,stage0000_task0006.h5,stage0000_task0003.h5",0.5,openmm,2111.1974239349365
cp,0,4096.0,,13,13,,"[1, 2, 4]",4,4,,beegfs-ssd,13,stage_in-aggregate,,"stage0000_task0007.h5,stage0000_task0002.h5,stage0000_task0010.h5,stage0000_task0000.h5,stage0000_task0005.h5,aggregated.h5,stage0000_task0009.h5,stage0000_task0004.h5,stage0000_task0011.h5,stage0000_task0008.h5,stage0000_task0001.h5,stage0000_task0006.h5,stage0000_task0003.h5",0.5,openmm,2111.1974239349365
cp,0,4096.0,,13,13,,"[1, 2, 4]",1,13,,beegfs-tmpfs,13,stage_in-aggregate,,"stage0000_task0007.h5,stage0000_task0002.h5,stage0000_task0010.h5,stage0000_task0000.h5,stage0000_task0005.h5,aggregated.h5,stage0000_task0009.h5,stage0000_task0004.h5,stage0000_task0011.h5,stage0000_task0008.h5,stage0000_task0001.h5,stage0000_task0006.h5,stage0000_task0003.h5",0.5,openmm,2111.1974239349365
cp,0,4096.0,,13,13,,"[1, 2, 4]",2,7,,beegfs-tmpfs,13,stage_in-aggregate,,"stage0000_task0007.h5,stage0000_task0002.h5,stage0000_task0010.h5,stage0000_task0000.h5,stage0000_task0005.h5,aggregated.h5,stage0000_task0009.h5,stage0000_task0004.h5,stage0000_task0011.h5,stage0000_task0008.h5,stage0000_task0001.h5,stage0000_task0006.h5,stage0000_task0003.h5",0.5,openmm,2111.1974239349365
cp,0,4096.0,,13,13,,"[1, 2, 4]",4,4,,beegfs-tmpfs,13,stage_in-aggregate,,"stage0000_task0007.h5,stage0000_task0002.h5,stage0000_task0010.h5,stage0000_task0000.h5,stage0000_task0005.h5,aggregated.h5,stage0000_task0009.h5,stage0000_task0004.h5,stage0000_task0011.h5,stage0000_task0008.h5,stage0000_task0001.h5,stage0000_task0006.h5,stage0000_task0003.h5",0.5,openmm,2111.1974239349365
