producer,producerStageOrder,consumer,consumerStageOrder,producerStorageType,producerTasksPerNode,consumerStorageType,consumerTasksPerNode,SPM,estT_prod,estT_cons
stage_in-openmm,0.5,openmm,1.0,tmpfs-tmpfs,24,tmpfs,12,1.9027202406669796,1.882183256835497,0.020536983831482645
stage_in-openmm,0.5,openmm,1.0,tmpfs-tmpfs,24,tmpfs,3,1.910821131010901,1.882183256835497,0.028637874175403876
stage_in-openmm,0.5,openmm,1.0,tmpfs-tmpfs,24,tmpfs,6,1.913395364133722,1.882183256835497,0.031212107298225017
stage_in-openmm,0.5,openmm,1.0,ssd-ssd,6,ssd,3,1.944165312164643,1.6862888557993136,0.25787645636532935
stage_in-openmm,0.5,openmm,1.0,ssd-ssd,12,ssd,3,2.0265270226736907,1.7686505663083614,0.25787645636532935
stage_in-openmm,0.5,openmm,1.0,ssd-ssd,24,ssd,3,2.143084046912426,1.8852075905470966,0.25787645636532935
stage_in-openmm,0.5,openmm,1.0,ssd-ssd,6,ssd,6,2.189202679361201,1.6862888557993136,0.5029138235618871
stage_in-openmm,0.5,openmm,1.0,ssd-ssd,12,ssd,6,2.2715643898702487,1.7686505663083614,0.5029138235618871
stage_in-openmm,0.5,openmm,1.0,ssd-ssd,6,ssd,12,2.274095295122172,1.6862888557993136,0.5878064393228586
stage_in-openmm,0.5,openmm,1.0,ssd-ssd,12,ssd,12,2.3564570056312197,1.7686505663083614,0.5878064393228586
stage_in-openmm,0.5,openmm,1.0,ssd-ssd,24,ssd,6,2.3881214141089835,1.8852075905470966,0.5029138235618871
stage_in-openmm,0.5,openmm,1.0,ssd-ssd,24,ssd,12,2.4730140298699554,1.8852075905470966,0.5878064393228586
stage_in-aggregate,0.5,aggregate,2.0,tmpfs,1,tmpfs,1,0.2491233317151453,0.0,0.2491233317151453
stage_in-aggregate,0.5,aggregate,2.0,tmpfs,3,tmpfs,1,0.2491233317151453,0.0,0.2491233317151453
stage_in-aggregate,0.5,aggregate,2.0,tmpfs,6,tmpfs,1,0.2491233317151453,0.0,0.2491233317151453
stage_in-aggregate,0.5,aggregate,2.0,tmpfs,12,tmpfs,1,0.2491233317151453,0.0,0.2491233317151453
stage_in-aggregate,0.5,aggregate,2.0,tmpfs,13,tmpfs,1,0.2491233317151453,0.0,0.2491233317151453
stage_in-aggregate,0.5,aggregate,2.0,tmpfs,16,tmpfs,1,0.2491233317151453,0.0,0.2491233317151453
stage_in-aggregate,0.5,aggregate,2.0,tmpfs,24,tmpfs,1,0.2491233317151453,0.0,0.2491233317151453
stage_in-aggregate,0.5,aggregate,2.0,tmpfs,34,tmpfs,1,0.2491233317151453,0.0,0.2491233317151453
stage_in-aggregate,0.5,aggregate,2.0,ssd,1,ssd,1,0.26820549926385717,0.0,0.26820549926385717
stage_in-aggregate,0.5,aggregate,2.0,ssd,3,ssd,1,0.26820549926385717,0.0,0.26820549926385717
stage_in-aggregate,0.5,aggregate,2.0,ssd,6,ssd,1,0.26820549926385717,0.0,0.26820549926385717
stage_in-aggregate,0.5,aggregate,2.0,ssd,12,ssd,1,0.26820549926385717,0.0,0.26820549926385717
stage_in-aggregate,0.5,aggregate,2.0,ssd,13,ssd,1,0.26820549926385717,0.0,0.26820549926385717
stage_in-aggregate,0.5,aggregate,2.0,ssd,16,ssd,1,0.26820549926385717,0.0,0.26820549926385717
stage_in-aggregate,0.5,aggregate,2.0,ssd,24,ssd,1,0.26820549926385717,0.0,0.26820549926385717
stage_in-aggregate,0.5,aggregate,2.0,ssd,34,ssd,1,0.26820549926385717,0.0,0.26820549926385717
stage_in-aggregate,0.5,aggregate,2.0,beegfs-tmpfs,4,tmpfs,1,0.32033044559156737,0.07120711387642208,0.2491233317151453
stage_in-aggregate,0.5,aggregate,2.0,beegfs-ssd,16,ssd,1,0.3214389143035789,0.05323341503972156,0.26820549926385734
stage_in-aggregate,0.5,aggregate,2.0,beegfs-ssd,13,ssd,1,0.32432706606299305,0.05612156679913571,0.26820549926385734
stage_in-aggregate,0.5,aggregate,2.0,beegfs-ssd,8,ssd,1,0.3327047105899821,0.06449921132612471,0.26820549926385734
stage_in-aggregate,0.5,aggregate,2.0,beegfs-ssd,4,ssd,1,0.3349885958433201,0.06678309657946292,0.26820549926385717
stage_in-aggregate,0.5,aggregate,2.0,beegfs-ssd,7,ssd,1,0.3353818824337322,0.06717638316987486,0.26820549926385734
stage_in-aggregate,0.5,aggregate,2.0,beegfs,1,beegfs,1,0.7404706573718891,0.0,0.7404706573718891
stage_in-aggregate,0.5,aggregate,2.0,beegfs,3,beegfs,1,0.7404706573718891,0.0,0.7404706573718891
stage_in-aggregate,0.5,aggregate,2.0,beegfs,6,beegfs,1,0.7404706573718891,0.0,0.7404706573718891
stage_in-aggregate,0.5,aggregate,2.0,beegfs,12,beegfs,1,0.7404706573718891,0.0,0.7404706573718891
stage_in-aggregate,0.5,aggregate,2.0,beegfs,13,beegfs,1,0.7404706573718891,0.0,0.7404706573718891
stage_in-aggregate,0.5,aggregate,2.0,beegfs,16,beegfs,1,0.7404706573718891,0.0,0.7404706573718891
stage_in-aggregate,0.5,aggregate,2.0,beegfs,24,beegfs,1,0.7404706573718891,0.0,0.7404706573718891
stage_in-aggregate,0.5,aggregate,2.0,beegfs,34,beegfs,1,0.7404706573718891,0.0,0.7404706573718891
