producer,consumer,producerStorageType,producerTasksPerNode,consumerStorageType,consumerTasksPerNode,SPM
run_idfeature,stage_out-run_idfeature,ssd,3,beegfs-tmpfs,2,28.910548237210786
run_idfeature,stage_out-run_idfeature,ssd,6,beegfs-tmpfs,2,29.54719700801241
run_idfeature,stage_out-run_idfeature,beegfs,12,beegfs-tmpfs,3,30.59842108464589
run_idfeature,stage_out-run_idfeature,beegfs,3,beegfs-tmpfs,2,33.815930000550374
run_idfeature,stage_out-run_idfeature,ssd,12,beegfs-tmpfs,2,33.85243868718035
run_idfeature,stage_out-run_idfeature,beegfs,6,beegfs-tmpfs,2,34.05100925767982
run_idfeature,stage_out-run_idfeature,beegfs,12,beegfs-tmpfs,2,38.2020958787044
run_idfeature,stage_out-run_idfeature,tmpfs,3,beegfs-tmpfs,30,68.46981252887343
run_idfeature,stage_out-run_idfeature,tmpfs,6,beegfs-tmpfs,30,68.64860098775634
run_idfeature,stage_out-run_idfeature,tmpfs,12,beegfs-tmpfs,30,68.7347636712895
run_idfeature,stage_out-run_idfeature,ssd,3,beegfs-tmpfs,30,70.49578251368065
run_idfeature,stage_out-run_idfeature,ssd,6,beegfs-tmpfs,30,71.13243128448228
run_idfeature,stage_out-run_idfeature,beegfs,3,beegfs-tmpfs,30,75.40116427702024
run_idfeature,stage_out-run_idfeature,ssd,12,beegfs-tmpfs,30,75.43767296365021
run_idfeature,stage_out-run_idfeature,beegfs,6,beegfs-tmpfs,30,75.63624353414968
run_idfeature,stage_out-run_idfeature,tmpfs,3,ssd-ssd,8,78.23519438112578
run_idfeature,stage_out-run_idfeature,tmpfs,3,tmpfs-tmpfs,2,78.32741833123693
run_idfeature,stage_out-run_idfeature,tmpfs,6,ssd-ssd,8,78.41398284000869
run_idfeature,stage_out-run_idfeature,tmpfs,12,ssd-ssd,8,78.50014552354185
run_idfeature,stage_out-run_idfeature,tmpfs,6,tmpfs-tmpfs,2,78.50620679011983
run_idfeature,stage_out-run_idfeature,tmpfs,12,tmpfs-tmpfs,2,78.592369473653
run_idfeature,stage_out-run_idfeature,tmpfs,3,ssd-ssd,2,78.65820591657648
run_idfeature,stage_out-run_idfeature,tmpfs,6,ssd-ssd,2,78.83699437545938
run_idfeature,stage_out-run_idfeature,tmpfs,3,tmpfs-tmpfs,8,78.88737885223135
run_idfeature,stage_out-run_idfeature,tmpfs,12,ssd-ssd,2,78.92315705899254
run_idfeature,stage_out-run_idfeature,tmpfs,3,tmpfs-tmpfs,3,78.96103251759463
run_idfeature,stage_out-run_idfeature,tmpfs,6,tmpfs-tmpfs,8,79.06616731111426
run_idfeature,stage_out-run_idfeature,tmpfs,6,tmpfs-tmpfs,3,79.13982097647754
run_idfeature,stage_out-run_idfeature,tmpfs,12,tmpfs-tmpfs,8,79.15232999464742
run_idfeature,stage_out-run_idfeature,tmpfs,12,tmpfs-tmpfs,3,79.2259836600107
run_idfeature,stage_out-run_idfeature,tmpfs,3,tmpfs-tmpfs,15,79.62755339194639
run_idfeature,stage_out-run_idfeature,beegfs,12,beegfs-tmpfs,30,79.78733015517426
run_idfeature,stage_out-run_idfeature,tmpfs,6,tmpfs-tmpfs,15,79.8063418508293
run_idfeature,stage_out-run_idfeature,tmpfs,3,ssd-ssd,3,79.86150752781042
run_idfeature,stage_out-run_idfeature,tmpfs,12,tmpfs-tmpfs,15,79.89250453436246
run_idfeature,stage_out-run_idfeature,tmpfs,3,ssd-ssd,5,80.01399042412422
run_idfeature,stage_out-run_idfeature,tmpfs,6,ssd-ssd,3,80.04029598669332
run_idfeature,stage_out-run_idfeature,tmpfs,12,ssd-ssd,3,80.12645867022648
run_idfeature,stage_out-run_idfeature,tmpfs,6,ssd-ssd,5,80.19277888300712
run_idfeature,stage_out-run_idfeature,ssd,3,ssd-ssd,8,80.261164365933
run_idfeature,stage_out-run_idfeature,tmpfs,12,ssd-ssd,5,80.27894156654028
run_idfeature,stage_out-run_idfeature,tmpfs,3,ssd-ssd,15,80.30909119356131
run_idfeature,stage_out-run_idfeature,ssd,3,tmpfs-tmpfs,2,80.35338831604415
run_idfeature,stage_out-run_idfeature,tmpfs,3,tmpfs-tmpfs,5,80.36689054818031
run_idfeature,stage_out-run_idfeature,tmpfs,6,ssd-ssd,15,80.48787965244422
run_idfeature,stage_out-run_idfeature,tmpfs,6,tmpfs-tmpfs,5,80.54567900706321
run_idfeature,stage_out-run_idfeature,tmpfs,12,ssd-ssd,15,80.57404233597738
