operation,randomOffset,transferSize,aggregateFilesizeMB,numTasks,parallelism,totalTime,numNodesList,numNodes,tasksPerNode,trMiB,storageType,opCount,taskName,taskPID,fileName,stageOrder,prevTask
read,1,5132.601040624375,244.5946445465088,96,96,3.887214203,[8],8,12,62.922862433909664,pfs,49970,run_idfeature,3678-dc155,IMERG_landmask_180W-180E_60S-60N.nc,1,initial_data
read,1,5132.601040624375,244.5946445465088,96,96,3.887214203,[8],8,12,62.922862433909664,pfs,49970,run_idfeature,3678-dc155,mcstrack_20160801_121500.nc,1,initial_data
read,1,5132.601040624375,244.5946445465088,96,96,3.887214203,[8],8,12,62.922862433909664,pfs,49970,run_idfeature,3678-dc155,mcstrack_20160801_131500.nc,1,initial_data
write,1,5474.098252833243,154.77758884429932,96,96,0.478965589,[8],8,12,323.1497051123213,pfs,29648,run_idfeature,3678-dc155,mcstrack_20160802_081500.nc,1,final_data
read,1,5132.601040624375,244.5946445465088,96,96,3.887214203,[8],8,12,62.922862433909664,pfs,49970,run_idfeature,3678-dc155,mcstrack_20160803_121500.nc,1,initial_data
read,1,5132.601040624375,244.5946445465088,96,96,3.887214203,[8],8,12,62.922862433909664,pfs,49970,run_idfeature,3678-dc155,mcstrack_20160803_131500.nc,1,initial_data
write,1,5474.098252833243,154.77758884429932,96,96,0.478965589,[8],8,12,323.1497051123213,pfs,29648,run_idfeature,3678-dc155,mcstrack_20160804_131500.nc,1,final_data
read,1,5132.601040624375,244.5946445465088,96,96,3.887214203,[8],8,12,62.922862433909664,pfs,49970,run_idfeature,3678-dc155,pr_rlut_mean_sam_2016080106.nc,1,initial_data
read,1,5132.601040624375,244.5946445465088,96,96,3.887214203,[8],8,12,62.922862433909664,pfs,49970,run_idfeature,3678-dc155,pr_rlut_mean_sam_2016080317.nc,1,initial_data
read,1,5132.601040624375,244.5946445465088,96,96,3.887214203,[8],8,12,62.922862433909664,pfs,49970,run_idfeature,3678-dc155,tracknumbers_20160801.0000_20160804.2300.nc,1,initial_data
write,1,5474.098252833243,154.77758884429932,96,96,0.478965589,[8],8,12,323.1497051123213,pfs,29648,run_idfeature,3678-dc155,track_20160803_031500.nc,1,
write,1,5474.098252833243,154.77758884429932,96,96,0.478965589,[8],8,12,323.1497051123213,pfs,29648,run_idfeature,3678-dc155,track_20160803_221500.nc,1,
read,1,5106.259891011487,240.3834409713745,96,96,4.662214818,[8],8,12,51.559923846343565,pfs,49363,run_idfeature,3679-dc155,cloudid_20160801_071500.nc,1,initial_data
read,1,5106.259891011487,240.3834409713745,96,96,4.662214818,[8],8,12,51.559923846343565,pfs,49363,run_idfeature,3679-dc155,cloudid_20160801_081500.nc,1,initial_data
read,1,5106.259891011487,240.3834409713745,96,96,4.662214818,[8],8,12,51.559923846343565,pfs,49363,run_idfeature,3679-dc155,cloudid_20160801_111500.nc,1,initial_data
read,1,5106.259891011487,240.3834409713745,96,96,4.662214818,[8],8,12,51.559923846343565,pfs,49363,run_idfeature,3679-dc155,cloudid_20160801_181500.nc,1,initial_data
read,1,5106.259891011487,240.3834409713745,96,96,4.662214818,[8],8,12,51.559923846343565,pfs,49363,run_idfeature,3679-dc155,cloudid_20160802_021500.nc,1,initial_data
